ROI_ID,ROI_Name,centerX,centerY,centerZ
1,Precentral_L,-38.93023255813954,-6.961429381735684,49.64038570618264
2,Precentral_R,41.10085773439812,-9.549837326234837,50.80981958000592
3,Frontal_Sup_L,-18.772992497916093,33.48985829397054,40.95415393164768
4,Frontal_Sup_R,21.60305719921105,29.91025641025641,42.50443786982248
5,Frontal_Sup_Orb_L,-16.824506749740394,45.919003115264786,-14.718587746625133
6,Frontal_Sup_Orb_R,18.17853560682046,46.61785356068205,-15.494483450351055
7,Frontal_Mid_L,-33.7589965042155,31.489204194941408,34.13078346699568
8,Frontal_Mid_R,37.39184952978056,31.750783699059554,32.81426332288402
9,Frontal_Mid_Orb_L,-30.885135135135137,49.1418918918919,-10.986486486486484
10,Frontal_Mid_Orb_R,32.894581280788174,51.27487684729064,-12.141871921182265
11,Frontal_Inf_Oper_L,-48.795761078998076,11.49132947976878,17.801541425818883
12,Frontal_Inf_Oper_R,49.92709077912795,13.675482487491053,20.19585418155826
13,Frontal_Inf_Tri_L,-45.890075128509295,28.666666666666657,12.582839066824832
14,Frontal_Inf_Tri_R,50.061366806136675,28.901906090190607,12.817294281729431
15,Frontal_Inf_Orb_L,-36.24023668639053,29.49230769230769,-13.459171597633137
16,Frontal_Inf_Orb_R,40.910369068541314,30.99472759226714,-13.258347978910372
17,Rolandic_Oper_L,-47.406060606060606,-9.77575757575758,12.638383838383845
18,Rolandic_Oper_R,52.381667918858,-7.537190082644628,13.32982719759579
19,Supp_Motor_Area_L,-5.690731252911036,3.550069864927792,60.06427573358175
20,Supp_Motor_Area_R,8.246309574019406,-1.0932096161956935,60.512863770560955
21,Olfactory_L,-8.26428571428572,13.864285714285728,-12.685714285714283
22,Olfactory_R,10.124567474048447,14.664359861591691,-12.560553633217992
23,Frontal_Sup_Medial_L,-5.1737967914438485,47.887032085561486,29.63636363636364
24,Frontal_Sup_Medial_R,8.75070290534208,49.52858481724462,28.92689784442362
25,Frontal_Med_Orb_L,-5.438108484005568,52.51738525730181,-8.856745479833101
26,Frontal_Med_Orb_R,7.834112149532714,50.406542056074755,-8.516355140186917
27,Rectus_L,-5.441314553990608,35.706572769953056,-19.568075117370896
28,Rectus_R,8.002684563758393,34.451006711409406,-19.436241610738257
29,Insula_L,-35.410118406889126,5.440258342303565,2.1722282023681316
30,Insula_R,38.722033898305085,5.020338983050834,0.8135593220338961
31,Cingulum_Ant_L,-4.364285714285714,34.195714285714274,12.535714285714292
32,Cingulum_Ant_R,8.117288651942118,35.72277227722773,14.432597105864431
33,Cingulum_Mid_L,-5.882534775888715,-16.1009788768676,40.21432251416796
34,Cingulum_Mid_R,7.664094416704501,-10.197004085338179,38.43758511121199
35,Cingulum_Post_L,-5.205183585313179,-44.172786177105834,23.27861771058315
36,Cingulum_Post_R,7.17611940298508,-43.0865671641791,20.471641791044775
37,Hippocampus_L,-25.25536480686695,-21.963519313304715,-11.384120171673821
38,Hippocampus_R,28.94503171247358,-20.991543340380545,-11.577167019027485
39,ParaHippocampal_L,-21.492842535787318,-17.29243353783231,-21.918200408997954
40,ParaHippocampal_R,25.148409893992934,-16.300353356890454,-21.743816254416963
41,Amygdala_L,-23.509090909090915,-1.9454545454545524,-18.454545454545453
42,Amygdala_R,27.05645161290323,-0.5725806451612954,-18.806451612903224
43,Calcarine_L,-7.482728077945083,-79.82108060230291,5.103631532329501
44,Calcarine_R,15.709833422890924,-74.44922084900591,8.019344438473937
45,Cuneus_L,-6.2568807339449535,-81.42463958060289,25.838794233289647
46,Cuneus_R,13.18960674157303,-80.58988764044943,26.85252808988764
47,Lingual_L,-14.858233890214791,-68.86491646778043,-6.00763723150358
48,Lingual_R,16.077391304347827,-68.14173913043479,-5.215652173913043
49,Occipital_Sup_L,-16.756954612005856,-85.61054172767203,26.853587115666173
50,Occipital_Sup_R,23.963198867657468,-82.206652512385,29.26539278131635
51,Occipital_Mid_L,-32.617125382263,-82.02140672782875,14.767584097859327
52,Occipital_Mid_R,37.12774070543375,-80.99332697807435,18.06768350810296
53,Occipital_Inf_L,-36.48246546227418,-79.56854410201913,-9.164718384697132
54,Occipital_Inf_R,37.87057633973711,-83.19110212335693,-8.99292214357937
55,Fusiform_L,-31.38961038961039,-41.40519480519481,-21.60606060606061
56,Fusiform_R,33.659253375695,-40.19857029388403,-21.533756949960285
57,Postcentral_L,-42.90441932168551,-23.7754367934224,47.4568345323741
58,Postcentral_R,41.15825268114045,-26.772691603452785,51.25398901386346
59,Parietal_Sup_L,-23.713317191283295,-60.807748184019374,57.657142857142844
60,Parietal_Sup_R,25.84248424842484,-60.42844284428443,60.713771377137704
61,Parietal_Inf_L,-43.10666121781774,-47.01920719248059,45.42296689824275
62,Parietal_Inf_R,46.291449814126395,-47.58810408921933,48.19182156133829
63,SupraMarginal_L,-56.146496815286625,-34.93630573248407,29.119426751592357
64,SupraMarginal_R,57.26241134751774,-32.817629179331306,33.13475177304964
65,Angular_L,-44.43478260869565,-62.08184143222506,34.28303495311168
66,Angular_R,45.22831050228311,-61.23858447488584,37.31506849315069
67,Precuneus_L,-7.590702947845799,-57.324829931972786,46.64002267573696
68,Precuneus_R,9.688820826952522,-57.31393568147014,42.36079632465544
69,Paracentral_Lobule_L,-7.974796145292814,-26.650852483320975,68.6923647146034
70,Paracentral_Lobule_R,7.126794258373209,-32.942583732057415,66.79186602870814
71,Caudate_L,-11.767151767151773,9.723492723492711,8.070686070686065
72,Caudate_R,14.494969818913475,10.776659959758547,8.148893360160969
73,Putamen_L,-24.20812685827552,2.600594648166492,1.0703666997026744
